group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encript,Encript ,1024,,,674792032.0,ns,1
Encript,Encript ,1024,,,709876782.0,ns,1
Encript,Encript ,1024,,,698576039.0,ns,1
Encript,Encript ,1024,,,722433987.0,ns,1
Encript,Encript ,1024,,,678827272.0,ns,1
Encript,Encript ,1024,,,672468460.0,ns,1
Encript,Encript ,1024,,,675184964.0,ns,1
Encript,Encript ,1024,,,673923925.0,ns,1
Encript,Encript ,1024,,,671413148.0,ns,1
Encript,Encript ,1024,,,671095056.0,ns,1
