group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encript,Encript ,320,,,521937131.0,ns,13
Encript,Encript ,320,,,520036977.0,ns,13
Encript,Encript ,320,,,520096823.0,ns,13
Encript,Encript ,320,,,522063408.0,ns,13
Encript,Encript ,320,,,521132983.0,ns,13
Encript,Encript ,320,,,520645881.0,ns,13
Encript,Encript ,320,,,519236039.0,ns,13
Encript,Encript ,320,,,519355762.0,ns,13
Encript,Encript ,320,,,520805365.0,ns,13
Encript,Encript ,320,,,520206093.0,ns,13
