group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,1024,,,52797242.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52448442.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52284339.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51817760.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52092108.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51779901.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51688106.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52064811.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51707735.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52648100.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51777282.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52145529.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52031141.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52023497.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51804322.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51770222.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,53422524.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51472392.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51878052.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52009978.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52831917.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51752675.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51474667.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52459210.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52085041.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51806815.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52070280.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52178219.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52513201.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52631137.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51722192.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52594876.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52426223.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51739851.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52119055.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52027634.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52097389.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51838227.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52016545.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52802645.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51774359.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52134756.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51549700.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52739073.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52064342.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51921232.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52053154.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52571693.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52088307.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52521413.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51261058.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52506204.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52208345.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51521494.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52070428.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,53697364.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52342989.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51981141.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52687651.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52002966.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51632634.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52571246.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52540653.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52573483.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,51964395.0,ns,2
Teste Primalidade,Teste Primalidade ,1024,,,52258384.0,ns,2
