group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,512,,,53918304.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,55338947.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52642324.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52303541.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53811703.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53889558.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53013798.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52287921.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52644149.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52908871.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53222455.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53409613.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53081096.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52428133.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51424645.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52271584.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52998410.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52265544.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52481033.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52142238.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53045155.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52829474.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52372079.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51776858.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52746932.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52430491.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52025742.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52976481.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53303657.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52755566.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51935859.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52399545.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52912486.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51709840.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52655367.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52945544.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51715378.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52501270.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52523985.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53097453.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51409229.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52832991.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52150304.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52385467.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52016478.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51694375.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52103121.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53052290.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52414657.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51902088.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52807799.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51833960.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52001053.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52394123.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52811609.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52094899.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52051702.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52772797.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52389091.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52210674.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51772601.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52076591.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52287603.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51830588.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52260244.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52558917.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,53352978.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51312123.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52117150.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52220226.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52884198.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52333146.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52433031.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52548097.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52479021.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52087870.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52712203.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,52714309.0,ns,8
Teste Primalidade,Teste Primalidade ,512,,,51593553.0,ns,8
